
  0%|          | 0/100 [00:00<?, ?it/s]
Loss score: 0.744 | Error score: 29.630%:  31%|███       | 31/100 [02:49<06:04,  5.29s/it]
Loss score: 0.744 | Error score: 29.630%:  32%|███▏      | 32/100 [02:49<05:58,  5.28s/it]
Loss score: 0.821 | Error score: 29.630%:  32%|███▏      | 32/100 [02:54<05:58,  5.28s/it]
Loss score: 0.821 | Error score: 29.630%:  33%|███▎      | 33/100 [02:54<05:54,  5.29s/it]
Loss score: 0.689 | Error score: 27.778%:  33%|███▎      | 33/100 [02:59<05:54,  5.29s/it]
Loss score: 0.689 | Error score: 27.778%:  34%|███▍      | 34/100 [02:59<05:51,  5.32s/it]
Loss score: 0.766 | Error score: 27.778%:  34%|███▍      | 34/100 [03:04<05:51,  5.32s/it]
Loss score: 0.766 | Error score: 27.778%:  35%|███▌      | 35/100 [03:04<05:42,  5.27s/it]
Loss score: 0.853 | Error score: 27.778%:  35%|███▌      | 35/100 [03:10<05:42,  5.27s/it]
Loss score: 0.853 | Error score: 27.778%:  36%|███▌      | 36/100 [03:10<05:36,  5.26s/it]
Loss score: 0.909 | Error score: 24.074%:  36%|███▌      | 36/100 [03:15<05:36,  5.26s/it]
Loss score: 0.909 | Error score: 24.074%:  37%|███▋      | 37/100 [03:15<05:30,  5.24s/it]
Loss score: 1.097 | Error score: 38.889%:  37%|███▋      | 37/100 [03:20<05:30,  5.24s/it]
Loss score: 1.097 | Error score: 38.889%:  38%|███▊      | 38/100 [03:20<05:24,  5.23s/it]
Loss score: 0.896 | Error score: 29.630%:  38%|███▊      | 38/100 [03:25<05:24,  5.23s/it]
Loss score: 0.896 | Error score: 29.630%:  39%|███▉      | 39/100 [03:25<05:16,  5.19s/it]
Loss score: 0.847 | Error score: 27.778%:  39%|███▉      | 39/100 [03:30<05:16,  5.19s/it]
Loss score: 0.847 | Error score: 27.778%:  40%|████      | 40/100 [03:30<05:12,  5.21s/it]
Loss score: 0.961 | Error score: 25.926%:  40%|████      | 40/100 [03:35<05:12,  5.21s/it]
Loss score: 0.961 | Error score: 25.926%:  41%|████      | 41/100 [03:36<05:05,  5.18s/it]
Loss score: 1.113 | Error score: 37.037%:  41%|████      | 41/100 [03:41<05:05,  5.18s/it]
Loss score: 1.113 | Error score: 37.037%:  42%|████▏     | 42/100 [03:41<05:02,  5.21s/it]
Loss score: 0.842 | Error score: 25.926%:  42%|████▏     | 42/100 [03:46<05:02,  5.21s/it]
Loss score: 0.842 | Error score: 25.926%:  43%|████▎     | 43/100 [03:46<04:58,  5.23s/it]
Loss score: 1.612 | Error score: 51.852%:  43%|████▎     | 43/100 [03:51<04:58,  5.23s/it]
Loss score: 1.612 | Error score: 51.852%:  44%|████▍     | 44/100 [03:51<04:52,  5.22s/it]
Loss score: 0.892 | Error score: 27.778%:  44%|████▍     | 44/100 [03:56<04:52,  5.22s/it]
Loss score: 0.892 | Error score: 27.778%:  45%|████▌     | 45/100 [03:57<04:46,  5.21s/it]
Loss score: 0.891 | Error score: 29.630%:  45%|████▌     | 45/100 [04:02<04:46,  5.21s/it]
Loss score: 0.891 | Error score: 29.630%:  46%|████▌     | 46/100 [04:02<04:41,  5.22s/it]
Loss score: 0.855 | Error score: 31.481%:  46%|████▌     | 46/100 [04:07<04:41,  5.22s/it]
Loss score: 0.855 | Error score: 31.481%:  47%|████▋     | 47/100 [04:07<04:35,  5.20s/it]
Loss score: 0.817 | Error score: 31.481%:  47%|████▋     | 47/100 [04:12<04:35,  5.20s/it]
Loss score: 0.817 | Error score: 31.481%:  48%|████▊     | 48/100 [04:12<04:30,  5.20s/it]
Loss score: 0.888 | Error score: 35.185%:  48%|████▊     | 48/100 [04:17<04:30,  5.20s/it]
Loss score: 0.888 | Error score: 35.185%:  49%|████▉     | 49/100 [04:17<04:23,  5.17s/it]
Loss score: 0.985 | Error score: 31.481%:  49%|████▉     | 49/100 [04:22<04:23,  5.17s/it]
Loss score: 0.985 | Error score: 31.481%:  50%|█████     | 50/100 [04:22<04:19,  5.20s/it]
Loss score: 0.922 | Error score: 37.037%:  50%|█████     | 50/100 [04:28<04:19,  5.20s/it]
Loss score: 0.922 | Error score: 37.037%:  51%|█████     | 51/100 [04:28<04:14,  5.20s/it]
Loss score: 0.895 | Error score: 31.481%:  51%|█████     | 51/100 [04:33<04:14,  5.20s/it]
Loss score: 0.895 | Error score: 31.481%:  52%|█████▏    | 52/100 [04:33<04:09,  5.20s/it]
Loss score: 0.976 | Error score: 35.185%:  52%|█████▏    | 52/100 [04:38<04:09,  5.20s/it]
Loss score: 0.976 | Error score: 35.185%:  53%|█████▎    | 53/100 [04:38<04:02,  5.16s/it]
Loss score: 1.091 | Error score: 31.481%:  53%|█████▎    | 53/100 [04:43<04:02,  5.16s/it]
Loss score: 1.091 | Error score: 31.481%:  54%|█████▍    | 54/100 [04:43<03:57,  5.16s/it]
Loss score: 1.149 | Error score: 35.185%:  54%|█████▍    | 54/100 [04:49<03:57,  5.16s/it]
Loss score: 1.149 | Error score: 35.185%:  55%|█████▌    | 55/100 [04:49<04:01,  5.38s/it]
Loss score: 1.055 | Error score: 37.037%:  55%|█████▌    | 55/100 [04:55<04:01,  5.38s/it]
Loss score: 1.055 | Error score: 37.037%:  56%|█████▌    | 56/100 [04:55<04:02,  5.51s/it]
Loss score: 1.052 | Error score: 24.074%:  56%|█████▌    | 56/100 [05:01<04:02,  5.51s/it]
Loss score: 1.052 | Error score: 24.074%:  57%|█████▋    | 57/100 [05:01<04:00,  5.60s/it]
Loss score: 0.941 | Error score: 35.185%:  57%|█████▋    | 57/100 [05:07<04:00,  5.60s/it]
Loss score: 0.941 | Error score: 35.185%:  58%|█████▊    | 58/100 [05:07<04:03,  5.80s/it]
Loss score: 0.903 | Error score: 35.185%:  58%|█████▊    | 58/100 [05:13<04:03,  5.80s/it]
Loss score: 0.903 | Error score: 35.185%:  59%|█████▉    | 59/100 [05:13<03:58,  5.82s/it]
Loss score: 0.775 | Error score: 22.222%:  59%|█████▉    | 59/100 [05:18<03:58,  5.82s/it]
Loss score: 0.775 | Error score: 22.222%:  60%|██████    | 60/100 [05:18<03:46,  5.67s/it]
Loss score: 0.728 | Error score: 35.185%:  60%|██████    | 60/100 [05:23<03:46,  5.67s/it]
Loss score: 0.728 | Error score: 35.185%:  61%|██████    | 61/100 [05:23<03:37,  5.57s/it]
Loss score: 0.916 | Error score: 29.630%:  61%|██████    | 61/100 [05:29<03:37,  5.57s/it]
Loss score: 0.916 | Error score: 29.630%:  62%|██████▏   | 62/100 [05:29<03:28,  5.48s/it]
Loss score: 0.980 | Error score: 29.630%:  62%|██████▏   | 62/100 [05:34<03:28,  5.48s/it]
